termo,frequencia
smart cities,15
smart city,13
sustainable cities,6
internet of things,5
sustainable development,5
sustainable development goals,4
artificial intelligence,4
climate change,4
iot,4
sustainability,3
digital twins,3
big data,3
governance,2
infrastructure,2
transportation,2
metaverse,2
urban transformation,2
urban planning,2
bibliometric analysis,2
sustainable smart cities,2
machine learning,2
sdg 11,2
environmental sustainability,2
urban sustainability,2
ict,2
urban computing,2
mobility financing,1
sustainable transportation solutions,1
stakeholder engagement,1
tqm,1
urban transportation,1
digital transformation,1
service delivery,1
smart sustainable cities,1
machine learning ml,1
classification algorithm,1
healthcare,1
energy management,1
generative ai,1
large language models,1
adaptive urban systems,1
building environment,1
challenge,1
state-of-the art review,1
citespace,1
society,1
urban construction,1
visualization,1
hydrogen,1
hydrogen production,1
hydrogen storage,1
hydrogen utilization,1
renewables,1
carbon capturing,1
clean fuels,1
energy sector,1
applications,1
challenges,1
smart city development,1
adaptive resource use,1
humancentered technology,1
neurourbanism,1
hybrid intelligence,1
human wellbeing,1
resilience and sustainability,1
urbanenvironments,1
urbantechnology,1
artificial intelligence of things,1
urban digital twin,1
data-driven urban planning,1
environmental planning,1
sensors,1
3d printing,1
rapid prototyping,1
disaster management,1
emergency response,1
custom fabrication,1
local manufacturing,1
data mining,1
openstreetmap,1
gis,1
dataset,1
data science,1
urban resilience,1
co-benefits,1
trade-offs,1
smart sustainable cities twin transition technological innovation urban development,1
scopus,1
vosviewer,1
geoinformacion,1
sistema de informacion geografica,1
un-sdgs.,1
carbon footprint,1
greenhouse gas,1
sustainable and digital supply chain,1
environmentally sustainable smart cities,1
aiot,1
transporte hidroviário,1
internet das coisas,1
ods 11.,1
frontier technologies,1
data governance,1
cloud computing,1
air pollution,1
urban informatics,1
saudi cities,1
epistemology,1
future cities,1
forecasting,1
quality of life,1
urban policy,1
digital economy,1
virtual reality,1
digital twin,1
sustainable city,1
sdgs,1
smart economy,1
smart mobility,1
smart governance,1
smart environment,1
smart living and smart people,1
artificial intelligence ai,1
digital cities,1
intelligent interaction,1
internet of things iot,1
energy management system,1
digitisation,1
urban infrastructure,1
smartcities,1
environmentaljustice,1
social justice,1
sustainable developmentgoals sdgs,1
sustainable communities,1
disruptive technologies,1
industry 5.0,1
society 5.0,1
smart village,1
sustainable development goals sdgs,1
urbanecology.biodiversity.holisticdesign. designwith nature.nature-based solution . geobim.demo,1
older adults,1
mobility,1
systematic review,1
inclusão,1
governança,1
cidades inteligentes,1
desenvolvimento sustentável,1
agenda 2030,1
smart urban mobility,1
bayesian network,1
cybersecurity,1
maturity model,1
risk assessment,1
smart city.,1
information and communication technology,1
water-energy-food nexus,1
integrated resource management,1
nagpur,1
water,1
water scarcity,1
green is.,1
