termo,frequencia
cidades inteligentes,33
desenvolvimento sustentável,12
iot,10
cidades sustentáveis,8
ods,8
inteligência artificial,7
gêmeos digitais,4
mudanças climáticas,4
governança,3
infraestrutura urbana,3
aprendizado de máquina,3
gestão energética,3
sustentabilidade,3
análise bibliométrica,3
big data,3
ods 11,3
tic,3
mobilidade urbana,2
transporte,2
metaverso,2
planejamento urbano,2
transformação urbana,2
revisão sistemática,2
cidades inteligentes e sustentáveis,2
desenvolvimento urbano,2
aiot,2
sustentabilidade ambiental,2
sustentabilidade urbana,2
sig,2
digitalização,2
computação urbana,2
qualidade de vida,2
transporte sustentável,1
financiamento,1
engajamento de stakeholders,1
transporte urbano,1
gestão da qualidade total,1
transformação digital,1
prestação de serviços,1
algoritmos de classificação,1
saúde,1
ia generativa,1
sistemas adaptativos,1
ambiente construído,1
construção urbana,1
visualização,1
energia renovável,1
hidrogênio,1
combustíveis limpos,1
captura de carbono,1
tecnologias energéticas,1
setor energético,1
aplicações,1
desafios,1
neurourbanismo,1
inteligência híbrida,1
tecnologia centrada no humano,1
bem-estar humano,1
resiliência,1
ambientes urbanos,1
tecnologia urbana,1
gêmeos digitais urbanos,1
planejamento urbano orientado por dados,1
planejamento ambiental,1
sensores,1
impressão 3d,1
prototipagem rápida,1
gestão de desastres,1
resposta emergencial,1
manufatura local,1
fabricação personalizada,1
ciência de dados,1
mineração de dados,1
openstreetmap,1
datasets,1
resiliência urbana,1
co-benefícios,1
trade-offs,1
transição dupla,1
inovação tecnológica,1
scopus,1
vosviewer,1
geoinformação,1
pegada de carbono,1
gases efeito estufa,1
cadeia de suprimentos sustentável,1
transporte hidroviário,1
computação em nuvem,1
governança de dados,1
tecnologias emergentes,1
poluição atmosférica,1
informática urbana,1
epistemologia,1
cidades do futuro,1
realidade virtual,1
economia digital,1
política urbana,1
previsão,1
economia inteligente,1
mobilidade inteligente,1
governança inteligente,1
ambiente inteligente,1
cidades digitais,1
interação inteligente,1
justiça social,1
justiça ambiental,1
comunidades sustentáveis,1
indústria 5.0,1
sociedade 5.0,1
tecnologias disruptivas,1
vilas inteligentes,1
ecologia urbana,1
biodiversidade,1
design holístico,1
design com a natureza,1
soluções baseadas na natureza,1
geobim,1
idosos,1
agenda 2030,1
inclusão social,1
mobilidade urbana inteligente,1
cibersegurança,1
redes bayesianas,1
modelos de maturidade,1
avaliação de riscos,1
nexo água-energia-alimento,1
gestão integrada de recursos,1
gestão hídrica,1
escassez de água,1
sistemas de informação verdes,1
